,MatchID,Player,GameWeek,ForTeam,AgainstTeam,RelativeStrength,Goals,ShotsOnTarget,ShotsInBox,CloseShots,TotalShots,Headers,ShotsCentre,ShotsLeft,ShotsRight,GoalAssists,ShotOnTargetCreated,ShotInBoxCreated,CloseShotCreated,TotalShotCreated,HeadersCreated,CreatedCentre,CreatedLeft,CreatedRight,XG,XA,XGI,Position,Date,BPS,CleanSheet,MinutesPlayed,NetTransfersIn,Points,Price,Saves,SelectedBy
21,58901,Jarrad Branthwaite,1,Everton,Tottenham Hotspur,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,4.0,0.0,252603
22,58901,Allan,1,Everton,Tottenham Hotspur,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,16,1.0,90.0,0,3,5.5,0.0,75335
23,58901,James Rodriguez,1,Everton,Tottenham Hotspur,-1,0,0,2,1,3,0,1,0,1,0,1,3,4,5,1,0,3,0,0.28846638120510515,0.42850256833781064,0.7169689495429158,MID,2020-09-13,16,1.0,90.0,0,3,7.5,0.0,471986
24,58901,Abdoulaye Doucoure,1,Everton,Tottenham Hotspur,-1,0,0,0,0,0,0,0,0,0,0,2,2,3,4,0,1,0,1,0.0,0.5570889986132799,0.5570889986132799,MID,2020-09-13,20,1.0,90.0,0,3,5.5,0.0,143040
25,58901,Hugo Lloris,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GKP,2020-09-13,15,0.0,90.0,0,3,5.5,3.0,296409
26,58901,Danny Rose,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,5.0,0.0,24146
27,58901,Moussa Sissoko,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,4,0.0,45.0,0,1,5.0,0.0,33970
28,58901,Toby Alderweireld,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.2,0.2,DEF,2020-09-13,12,0.0,90.0,0,2,5.5,0.0,166187
29,58901,Erik Lamela,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,0,0.0,0.0,0,0,6.0,0.0,10931
30,58901,Harry Kane,1,Tottenham Hotspur,Everton,1,0,1,2,1,2,2,2,0,0,0,2,1,2,2,0,0,0,1,0.30293401615416343,0.5380459770114943,0.8409799931656576,FWD,2020-09-13,7,0.0,90.0,0,2,10.5,0.0,894557
31,58901,Serge Aurier,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,5.5,0.0,236728
32,58901,Son Heung-Min,1,Tottenham Hotspur,Everton,1,0,1,1,1,2,0,0,1,0,0,1,3,1,3,2,3,0,0,0.20602131438721139,0.5680779755681215,0.7740992899553328,MID,2020-09-13,10,0.0,90.0,0,2,9.0,0.0,1724987
33,58901,Eric Dier,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,13,0.0,90.0,0,2,5.0,0.0,95090
34,58901,Lucas Moura,1,Tottenham Hotspur,Everton,1,0,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.30293401615416343,0.0,0.30293401615416343,MID,2020-09-13,-1,0.0,90.0,0,2,7.0,0.0,149187
35,58901,Paulo Gazzaniga,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GKP,2020-09-13,0,0.0,0.0,0,0,4.5,0.0,22611
36,58901,Dele Alli,1,Tottenham Hotspur,Everton,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.4258777633289987,0.07602131438721137,0.50189907771621,MID,2020-09-13,3,0.0,45.0,0,1,8.0,0.0,237638
37,58901,Ben Davies,1,Tottenham Hotspur,Everton,1,0,0,1,0,1,0,0,0,1,0,2,2,2,2,2,2,0,0,0.2,0.46366782006920415,0.6636678200692041,DEF,2020-09-13,15,0.0,90.0,0,2,5.0,0.0,155868
38,58901,Ben Davies,1,Tottenham Hotspur,Everton,1,0,0,1,0,1,0,0,0,1,0,2,2,2,2,2,2,0,0,0.2,0.46366782006920415,0.6636678200692041,DEF,2020-09-13,15,0.0,90.0,0,2,5.0,0.0,155868
39,58901,Pierre-Emile Højbjerg,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,8,0.0,90.0,0,1,5.0,0.0,66864
40,58901,Harry Winks,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,8,0.0,59.0,0,1,5.5,0.0,10287
